"Country","Method","Energy.type","Last.stage","IEAMW","Chopped.mat","Chopped.var","Product.aggregation","Industry.aggregation","GrossNet","var","1971","2000"
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","EX.p",2318101.40897948,5302260.67644846
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","EX.f",1706701.47194569,2876787.68700575
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","EX.u",243151.751461917,574774.311494246
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","eta_pf",0.736249702163394,0.542558705154546
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","eta_fu",0.142468823903173,0.199797264876537
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Gross","eta_pu",0.10489262916628,0.108401745324834
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","EX.p",2318101.40897948,5302260.67644846
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","EX.f",1665029.41519369,2725303.48074175
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","EX.u",228522.41981383,539281.526724107
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","eta_pf",0.718272897270141,0.513988965658927
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","eta_fu",0.137248277855348,0.197879440045822
"Africa","PCM","X","Final","Both","None","None","Specified","Specified","Net","eta_pu",0.0985817181804979,0.10170784871432
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","EX.p",2162692.584005,5147768.234138
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","EX.f",1630764.671612,2799567.364759
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","EX.u",238081.128980557,569345.275700184
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","eta_pf",0.75404367854818,0.543840988448811
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","eta_fu",0.145993553285169,0.203369021537796
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Gross","eta_pu",0.110085515963468,0.110600409692982
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","EX.p",2162692.584005,5147768.234138
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","EX.f",1589092.61486,2648083.158495
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","EX.u",223451.797332471,533852.490930044
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","eta_pf",0.734775079275126,0.514413827128801
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","eta_fu",0.14061596866219,0.201599594490625
"Africa","PCM","X","Final","IEA","None","None","Specified","Specified","Net","eta_pu",0.103321109521109,0.103705618949537
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Gross","EX.p",155408.824974481,154492.44231046
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Gross","EX.f",75936.800333688,77220.3222467466
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Gross","EX.u",5070.6224813596,5429.03579406222
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Gross","eta_pf",0.488626050329878,0.499832361323984
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Gross","eta_fu",0.0667742446228685,0.0703057904461277
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Gross","eta_pu",0.0326276354138333,0.0351411092534372
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Net","EX.p",155408.824974481,154492.44231046
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Net","EX.f",75936.800333688,77220.3222467466
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Net","EX.u",5070.6224813596,5429.03579406222
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Net","eta_pf",0.488626050329878,0.499832361323984
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Net","eta_fu",0.0667742446228685,0.0703057904461277
"Africa","PCM","X","Final","MW","None","None","Specified","Specified","Net","eta_pu",0.0326276354138333,0.0351411092534372
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Gross","EX.p",2318101.40897948,5302260.67644846
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Gross","EX.f",1706701.47194569,2876787.68700575
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Gross","EX.u",243151.751461917,574774.311494246
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Gross","eta_pf",0.736249702163394,0.542558705154546
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Gross","eta_fu",0.142468823903173,0.199797264876537
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Gross","eta_pu",0.10489262916628,0.108401745324834
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Net","EX.p",2318101.40897948,5302260.67644846
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Net","EX.f",1665029.41519369,2725303.48074175
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Net","EX.u",228522.41981383,539281.526724107
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Net","eta_pf",0.718272897270141,0.513988965658927
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Net","eta_fu",0.137248277855348,0.197879440045822
"Africa","PCM","X","Useful","Both","None","None","Specified","Specified","Net","eta_pu",0.0985817181804979,0.10170784871432
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Gross","EX.p",2162692.584005,5147768.234138
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Gross","EX.f",1630764.671612,2799567.364759
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Gross","EX.u",238081.128980557,569345.275700184
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Gross","eta_pf",0.75404367854818,0.543840988448811
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Gross","eta_fu",0.145993553285169,0.203369021537796
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Gross","eta_pu",0.110085515963468,0.110600409692982
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Net","EX.p",2162692.584005,5147768.234138
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Net","EX.f",1589092.61486,2648083.158495
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Net","EX.u",223451.797332471,533852.490930044
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Net","eta_pf",0.734775079275126,0.514413827128801
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Net","eta_fu",0.14061596866219,0.201599594490625
"Africa","PCM","X","Useful","IEA","None","None","Specified","Specified","Net","eta_pu",0.103321109521109,0.103705618949537
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Gross","EX.p",155408.824974481,154492.44231046
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Gross","EX.f",75936.800333688,77220.3222467466
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Gross","EX.u",5070.6224813596,5429.03579406222
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Gross","eta_pf",0.488626050329878,0.499832361323984
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Gross","eta_fu",0.0667742446228685,0.0703057904461277
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Gross","eta_pu",0.0326276354138333,0.0351411092534372
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Net","EX.p",155408.824974481,154492.44231046
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Net","EX.f",75936.800333688,77220.3222467466
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Net","EX.u",5070.6224813596,5429.03579406222
"Africa","PCM","X","Useful","MW","None","None","Specified","Specified","Net","eta_pf",0.488626050329878,0.499832361323984
